開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2022/04/24,2阪神10,小雨,5,3歳未勝利,,芝2000,16,稍,2:00.9,36.4-35.2,ミスターホワイト,坂井瑠星,[西]矢作芳人,ウォーターレクラ,ショウナンパラボラ,2:３歳,520.0
2022/04/24,2阪神10,小雨,6,3歳1勝クラス,,ダ1400,15,稍,1:24.6,34.8-37.6,テーオーステルス,川田将雅,[西]奥村豊,チェイスザドリーム,フォーチュンテラー,2:３歳,750.0
2022/04/24,2阪神10,小雨,7,4歳以上1勝クラス,,ダ1800,11,稍,1:52.1,36.9-37.1,タイセイヴィーナス,和田竜二,[西]大橋勇樹,インテンスフレイム,ガムラン,4:４歳以上,770.0
2022/04/24,2阪神10,曇,8,4歳以上1勝クラス,,芝1600,14,稍,1:34.5,35.9-35.0,スズカトップバゴ,幸英明,[西]吉村圭司,ヴェントボニート,エイシンピクセル,4:４歳以上,770.0
2022/04/24,2阪神10,曇,9,千里山特別(2勝クラス),,芝2200,7,稍,2:15.7,36.4-34.3,スタッドリー,岩田望来,[西]奥村豊,タガノカイ,リンフレスカンテ,4:４歳以上,1510.0
2022/04/24,2阪神10,曇,10,甲南S(3勝クラス),,ダ2000,15,稍,2:04.5,36.2-36.7,レザネフォール,鮫島克駿,[西]池江泰寿,ゴールドティア,オンザフェーヴル,4:４歳以上,1840.0
2022/04/24,2阪神10,曇,11,読売マイラーズC(G2),,芝1600,15,稍,1:33.3,34.6-35.8,ソウルラッシュ,浜中俊,[西]池江泰寿,ホウオウアマゾン,ファルコニア,4:４歳以上,5900.0
2022/04/24,2阪神10,曇,12,4歳以上2勝クラス,,ダ1200,16,稍,1:11.2,34.5-36.7,コパシーナ,川田将雅,[東]伊藤圭三,サウンドサンビーム,ヴァリアント,4:４歳以上,1110.0
2022/04/23,1福島3,曇,1,3歳未勝利,,ダ1150,16,良,1:10.8,32.5-38.3,ゴッドクインビー,角田大和,[西]角田晃一,ペイシャブライティ,キュートヘスティア,2:３歳,520.0
2022/04/23,1福島3,曇,2,3歳未勝利,,芝1200,16,良,1:10.9,35.2-35.7,デフィデリ,勝浦正樹,[東]南田美知,インペリアス,ユーロックデュード,2:３歳,520.0
2022/04/23,1福島3,曇,3,3歳未勝利,,ダ1700,15,良,1:47.2,30.1-38.1,バイロイト,丹内祐次,[東]栗田徹,ラートリー,エピックジョイ,2:３歳,520.0
2022/04/23,1福島3,曇,4,障害4歳以上未勝利,,障2750,14,良,3:03.0,106.0-0.0,ジェミニキング,難波剛健,[西]服部利之,タイセイトレイル,アンブロジオ,4:４歳以上,790.0
2022/04/23,1福島3,曇,5,障害4歳以上OP,,障3350,14,良,3:44.0,105.1-0.0,トワイライトタイム,小野寺祐,[西]五十嵐忠,ジンゴイスト,マイネルダンク,4:４歳以上,1350.0
2022/04/23,1福島3,曇,6,4歳以上1勝クラス,,ダ1700,14,良,1:46.5,29.5-38.7,アクセル,西村淳也,[東]小手川準,クリノクラール,トップスターサン,4:４歳以上,770.0
2022/04/23,1福島3,曇,7,3歳未勝利,,芝1800,16,良,1:48.6,35.4-36.8,シゲルローズマリー,鮫島克駿,[西]渡辺薫彦,ボルザコフスキー,セキテイオー,2:３歳,520.0
2022/04/23,1福島3,曇,8,4歳以上1勝クラス,,芝1200,13,良,1:09.8,33.5-36.3,ダブルアンコール,水口優也,[西]池江泰寿,ララサンスフル,チカリヨン,4:４歳以上,770.0
2022/04/23,1福島3,曇,9,飯盛山特別(1勝クラス),,芝2000,10,良,2:02.8,37.0-35.6,マイネルマーティン,丹内祐次,[東]菊沢隆徳,スマートワン,マッハモンルード,4:４歳以上,1070.0
2022/04/23,1福島3,曇,10,尾瀬特別(2勝クラス),,ダ1700,15,良,1:45.7,30.2-37.3,ペイシャクェーサー,秋山稔樹,[東]蛯名利弘,ショウナンマリオ,ダイシンピスケス,4:４歳以上,1510.0
2022/04/23,1福島3,晴,11,福島牝馬S(G3),,芝1800,16,良,1:47.0,35.0-36.4,アナザーリリック,津村明秀,[東]林徹,クリノプレミアム,サトノダムゼル,4:４歳以上,4000.0
2022/04/23,1福島3,晴,12,4歳以上1勝クラス,,芝1200,12,良,1:10.1,34.2-35.9,タイクーンバゴ,松本大輝,[西]浜田多実,ラピカズマ,マイネルチューダ,4:４歳以上,770.0
