開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2022/05/29,3中京8,晴,5,3歳未勝利,,芝2000,16,良,2:01.8,36.7-35.7,アルファヒディ,坂井瑠星,[西]池江泰寿,ラウルピドゥ,ダイリュウブラック,2:３歳,520.0
2022/05/29,3中京8,晴,6,3歳1勝クラス,,ダ1800,15,良,1:52.1,37.0-37.8,ドライゼ,藤岡康太,[西]須貝尚介,ジャスパーグレイト,サパテアール,2:３歳,750.0
2022/05/29,3中京8,晴,7,4歳以上1勝クラス,,ダ1200,13,良,1:10.8,34.2-36.6,ナムラボス,藤岡康太,[西]羽月友彦,メイショウミツヤス,ヒロノクイーン,4:４歳以上,770.0
2022/05/29,3中京8,晴,8,4歳以上2勝クラス,,芝1400,14,良,1:20.0,32.9-36.0,エピローグ,長岡禎仁,[西]杉山佳明,サルビア,メイショウベッピン,4:４歳以上,1110.0
2022/05/29,3中京8,晴,9,香嵐渓特別(2勝クラス),,ダ1900,9,良,1:59.0,32.0-36.1,ゲンパチハマジ,鮫島克駿,[西]佐々木晶,オノリス,ダッシュダクラウン,4:４歳以上,1510.0
2022/05/29,3中京8,晴,10,安土城S(L),,芝1400,18,良,1:19.4,33.9-34.3,エントシャイデン,坂井瑠星,[西]矢作芳人,ダディーズビビッド,ルプリュフォール,4:４歳以上,2500.0
2022/05/29,3中京8,晴,11,白百合S(L),,芝2000,7,良,1:59.8,36.1-34.7,フェーングロッテン,松若風馬,[西]宮本博,ヴェローナシチー,アーティット,2:３歳,2000.0
2022/05/29,3中京8,晴,12,朱雀S(3勝クラス),,芝1200,16,良,1:08.1,32.9-35.2,オパールシャルム,江田照男,[東]武藤善則,ビアイ,ジョニーズララバイ,4:４歳以上,1840.0
2022/05/28,1新潟7,曇,1,障害4歳以上未勝利,,障2890,14,稍,3:11.5,105.1-0.0,ビーマイオーシャン,小牧加矢,[西]音無秀孝,エカテリンブルク,ニシノデイジー,4:４歳以上,790.0
2022/05/28,1新潟7,曇,2,3歳未勝利,,ダ1800,15,重,1:56.6,37.3-40.8,エレアイム,西村淳也,[西]奥村豊,アルフワイラ,ポットマム,2:３歳,520.0
2022/05/28,1新潟7,曇,3,3歳未勝利,,ダ1200,15,重,1:12.6,34.6-38.0,クランシリーニー,西村淳也,[西]新谷功一,カフェベラノッテ,オルロージュ,2:３歳,520.0
2022/05/28,1新潟7,小雨,4,障害4歳以上OP,,障2890,14,稍,3:10.6,105.0-0.0,シャイニーゲール,小牧加矢,[西]五十嵐忠,キーパンチ,テイエムクロムシャ,4:４歳以上,1350.0
2022/05/28,1新潟7,曇,5,3歳未勝利,,芝1800,16,稍,1:48.6,35.0-36.1,ミクソロジー,西村淳也,[西]辻野泰之,メイショウブレゲ,マイネルグローリエ,2:３歳,520.0
2022/05/28,1新潟7,晴,6,3歳未勝利,,ダ1800,14,重,1:56.6,37.0-41.3,タイキスパルタン,菱田裕二,[西]辻野泰之,バイタルエリア,スエトニウス,2:３歳,520.0
2022/05/28,1新潟7,晴,7,3歳未勝利,,芝1600,16,良,1:35.3,34.8-36.5,タイゲン,藤田菜七,[西]平田修,オーダーナチュラル,エクセトラ,2:３歳,520.0
2022/05/28,1新潟7,晴,8,4歳以上1勝クラス,,ダ1200,13,稍,1:12.3,34.3-38.0,ベラール,角田大和,[西]武幸四郎,ソナトリーチェ,ヤマカツパトリシア,4:４歳以上,770.0
2022/05/28,1新潟7,晴,9,ゆきつばき賞(1勝クラス),,芝1200,16,良,1:09.2,33.9-35.3,グランアリエル,角田大和,[東]小野次郎,ホウオウノーサイド,ブランデーロック,2:３歳,1030.0
2022/05/28,1新潟7,晴,10,荒川峡特別(1勝クラス),,芝2400,14,良,2:28.9,36.1-36.9,サンデージャック,勝浦正樹,[西]宮本博,サンデイビス,フランコイメル,4:４歳以上,1070.0
2022/05/28,1新潟7,晴,11,五泉特別(2勝クラス),,ダ1800,12,稍,1:52.2,37.1-38.2,マイネルクロンヌ,丹内祐次,[東]青木孝文,モサ,ダイシンピスケス,4:４歳以上,1510.0
2022/05/28,1新潟7,晴,12,4歳以上1勝クラス,,芝1200,16,良,1:09.4,34.2-35.2,ジャストザビアンカ,西村淳也,[西]牧浦充徳,ロードラスター,ベンガン,4:４歳以上,770.0
