開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2022/06/19,3東京6,晴,9,町田特別(2勝クラス),,芝2400,10,良,2:26.5,38.9-34.7,レインフロムヘヴン,レーン,[東]堀宣行,イヤサカ,エルディアブロ,3:３歳以上,1510.0
2022/06/19,3東京6,晴,10,多摩川S(3勝クラス),,芝1400,10,良,1:20.4,35.6-33.3,ウインシャーロット,石川裕紀,[東]和田正一,セルフィー,ワンスカイ,3:３歳以上,1840.0
2022/06/19,3東京6,晴,11,ユニコーンS(G3),,ダ1600,15,良,1:35.2,34.3-36.9,ペイシャエス,菅原明良,[東]小西一男,セキフウ,バトルクライ,2:３歳,3700.0
2022/06/19,3東京6,晴,12,3歳以上1勝クラス,,ダ1400,16,良,1:24.3,34.8-36.5,コングールテソーロ,戸崎圭太,[東]奥平雅士,キタノブレイド,バレルゾーン,3:３歳以上,770.0
2022/06/19,3阪神2,曇,1,3歳未勝利,,ダ1400,16,良,1:25.6,34.5-38.7,ルクスレガート,小沢大仁,[西]松永昌博,ルージュラピュセル,オースミリン,2:３歳,520.0
2022/06/19,3阪神2,晴,2,3歳未勝利,,芝1400,18,良,1:20.8,33.5-35.7,ウォータールグラン,岩田望来,[西]河内洋,アンブロジアーナ,クリオミニーズ,2:３歳,520.0
2022/06/19,3阪神2,晴,3,3歳未勝利,,芝1800,16,良,1:48.3,36.1-34.2,ララヴォルシエル,和田竜二,[西]辻野泰之,チェルノボーグ,メイショウケイガン,2:３歳,520.0
2022/06/19,3阪神2,晴,4,3歳未勝利,,ダ1200,16,良,1:12.2,35.2-37.0,シラキヌ,岩田望来,[西]藤原英昭,クリーンジーニアス,テイエムフェロー,2:３歳,520.0
2022/06/19,3阪神2,晴,5,2歳新馬,,ダ1200,14,良,1:13.9,36.1-37.8,ナイトキャッスル,角田大河,[西]音無秀孝,ウェイオブサクセス,エクロジャイト,1:２歳,700.0
2022/06/19,3阪神2,晴,6,3歳未勝利,,ダ1800,16,良,1:53.5,36.4-39.4,モズブーナー,今村聖奈,[西]音無秀孝,テイエムシルバー,シャドウアイル,2:３歳,520.0
2022/06/19,3阪神2,晴,7,3歳以上1勝クラス,,芝1600,11,良,1:34.1,35.4-35.1,トーホウディアス,今村聖奈,[西]南井克巳,ピンクマクフィー,カレンマックナイト,3:３歳以上,770.0
2022/06/19,3阪神2,晴,8,3歳以上1勝クラス,,芝1400,13,良,1:20.3,34.6-34.2,ママコチャ,松山弘平,[西]池江泰寿,エイシンピクセル,メイショウソウゲツ,3:３歳以上,770.0
2022/06/19,3阪神2,晴,9,三木特別(2勝クラス),,芝1800,11,良,1:46.4,35.4-35.5,ロングラン,荻野極,[東]和田勇介,ヴァンルーラー,ミスフィガロ,3:３歳以上,1510.0
2022/06/19,3阪神2,晴,10,オークランドTRT(3勝クラス),,ダ1800,16,良,1:51.6,36.2-38.1,メイショウフンジン,坂井瑠星,[西]西園正都,エマージングロール,ロッキーサンダー,3:３歳以上,1840.0
2022/06/19,3阪神2,晴,11,マーメイドS(G3),,芝2000,16,良,1:58.3,35.7-35.1,ウインマイティー,和田竜二,[西]五十嵐忠,マリアエレーナ,ソフトフルート,3:３歳以上,3800.0
2022/06/19,3阪神2,晴,12,3歳以上2勝クラス,,ダ1800,10,良,1:52.2,38.5-37.3,ピュアジャッジ,川田将雅,[西]清水久詞,ラルフ,ミッキーヌチバナ,3:３歳以上,1110.0
2022/06/18,1函館3,曇,1,3歳未勝利,,芝1200,16,良,1:09.6,33.8-35.8,ドロップオブライト,鷲頭虎太,[西]松永昌博,ピースキーパー,コスモプルエバ,2:３歳,520.0
2022/06/18,1函館3,曇,2,3歳未勝利,,ダ1700,12,良,1:46.1,29.8-38.5,ヘキクウ,横山武史,[東]鈴木伸尋,タロファイター,パリヘンジ,2:３歳,520.0
2022/06/18,1函館3,曇,3,3歳未勝利,,ダ1000,12,良,0:59.1,35.0-35.9,ルアル,吉田隼人,[西]安達昭夫,オーブラック,グラットンラッシー,2:３歳,520.0
2022/06/18,1函館3,曇,4,3歳未勝利,,芝1800,13,良,1:48.6,35.1-35.4,ヒドゥンキング,横山琉人,[東]伊藤大士,ユイ,キセキノエンジェル,2:３歳,520.0
