開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2022/02/26,2小倉5,晴,5,3歳未勝利,,芝1800,16,良,1:49.8,37.6-35.0,ゴールドエクリプス,松本大輝,[西]大久保龍,モンステラマオ,フローレンスハニー,2:３歳,520.0
2022/02/26,2小倉5,晴,6,3歳未勝利,,芝2000,12,良,2:02.1,36.0-36.5,リュミエールノワル,横山和生,[西]松永幹夫,シゲルローズマリー,マルカフロンターレ,2:３歳,520.0
2022/02/26,2小倉5,晴,7,4歳以上1勝クラス,,ダ1700,15,良,1:47.3,29.7-39.4,コトブキアルニラム,秋山稔樹,[東]萱野浩二,ラブエスポー,ウォーターウキウキ,4:４歳以上,770.0
2022/02/26,2小倉5,晴,8,春麗ジャンプS(OP),,障3390,12,良,3:45.4,106.1-0.0,マイネルヴァッサー,小野寺祐,[東]土田稔,グランドレグルス,エコロドリーム,4:４歳以上,1650.0
2022/02/26,2小倉5,晴,9,合馬特別(1勝クラス),,芝1200,18,良,1:08.3,33.7-34.6,ジュストコル,吉田隼人,[西]大久保龍,マイネルチューダ,タマモダイジョッキ,4:４歳以上,1070.0
2022/02/26,2小倉5,晴,10,早鞆特別(2勝クラス),,ダ1700,16,良,1:45.1,29.7-37.6,リキサントライ,古川吉洋,[西]池添兼雄,ラヴィータエベラ,レガーメペスカ,4:４歳以上,1510.0
2022/02/26,2小倉5,晴,11,八代特別(2勝クラス),,芝2000,12,良,1:59.5,37.1-34.5,ウエストンバート,吉田隼人,[西]吉岡辰弥,スズカノロッソ,エンジェルサークル,4:４歳以上,1510.0
2022/02/26,2小倉5,晴,12,4歳以上1勝クラス,,芝1800,16,良,1:47.4,37.0-35.2,ロッソモラーレ,西村淳也,[東]清水英克,スマートワン,ウインアステロイド,4:４歳以上,770.0
2022/02/20,1東京8,曇,1,3歳未勝利,,ダ1400,16,不,1:24.2,35.5-36.2,ローヴェロ,ルメール,[東]加藤征弘,ウォーカーテソーロ,セイカフォルゴーレ,2:３歳,520.0
2022/02/20,1東京8,曇,2,3歳未勝利,,ダ2100,16,不,2:13.3,31.9-35.7,バックスクリーン,Ｍ．デム,[東]斎藤誠,ヒシアラカン,ネッスンドルマ,2:３歳,520.0
2022/02/20,1東京8,曇,3,3歳新馬,,ダ1400,16,不,1:25.2,36.1-36.8,フォトスフィア,柴田大知,[東]畠山吉宏,ルクスグレイシア,ルクスディオン,2:３歳,600.0
2022/02/20,1東京8,曇,4,3歳未勝利,,芝1800,16,重,1:49.0,35.9-34.4,スガオノママデ,吉田隼人,[東]黒岩陽一,ジュエルラビシア,フォーグッド,2:３歳,520.0
2022/02/20,1東京8,曇,5,3歳1勝クラス,,芝1600,15,重,1:34.4,34.2-36.0,ラスール,ルメール,[東]藤沢和雄,アグリ,セッカチケーン,2:３歳,750.0
2022/02/20,1東京8,曇,6,4歳以上1勝クラス,,ダ1400,16,重,1:23.6,35.2-35.9,アルマドラード,ルメール,[東]藤沢和雄,ジッピーレーサー,ブラックパンサー,4:４歳以上,770.0
2022/02/20,1東京8,曇,7,4歳以上1勝クラス,,芝1800,16,重,1:47.3,34.9-36.6,ノワールドゥジェ,戸崎圭太,[東]宮田敬介,バニシングポイント,アドマイヤハレー,4:４歳以上,770.0
2022/02/20,1東京8,曇,8,4歳以上2勝クラス,,芝1400,16,重,1:22.0,34.4-35.9,ドゥラモンド,ルメール,[東]手塚貴久,グレイトオーサー,スーパーホープ,4:４歳以上,1110.0
2022/02/20,1東京8,曇,9,ヒヤシンスS(L),,ダ1600,14,重,1:35.3,35.2-35.8,コンバスチョン,川田将雅,[東]伊藤圭三,ヘラルドバローズ,シーヴィクセン,2:３歳,1900.0
2022/02/20,1東京8,小雨,10,アメジストS(3勝クラス),,芝2000,11,稍,2:00.1,36.4-34.8,ノースブリッジ,岩田康誠,[東]奥村武,グランオフィシエ,シンボ,4:４歳以上,1840.0
2022/02/20,1東京8,小雨,11,フェブラリーS(G1),,ダ1600,16,重,1:33.8,34.5-34.6,カフェファラオ,福永祐一,[東]堀宣行,テイエムサウスダン,ソダシ,4:４歳以上,12000.0
2022/02/20,1東京8,曇,12,大島特別(2勝クラス),,ダ1400,16,重,1:23.7,35.7-35.4,ノーリス,Ｍ．デム,[東]手塚貴久,フィールザワールド,バクシン,4:４歳以上,1510.0
