開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2011/05/07,1新潟5,晴,3,3歳未勝利,,ダ1800,15,良,1:55.6,36.8-39.3,クラッシーゲイト,高倉稜,[東]加藤征弘,トーホウアミール,サワノボンバー,2:３歳,500.0
2011/05/07,1新潟5,晴,4,3歳未勝利,,芝2000,16,良,2:04.7,37.5-35.3,ヒカルマイデビュー,中舘英二,[西]岡田稲男,テーオーゼウス,カズノトウショウ,2:３歳,500.0
2011/05/07,1新潟5,晴,5,3歳未勝利,,芝1800,16,良,1:47.4,35.7-35.0,アクロスザライト,川須栄彦,[西]松元茂樹,マイネローレライ,アトミックデザイン,2:３歳,500.0
2011/05/07,1新潟5,晴,6,3歳未勝利,,芝1000,16,良,0:56.5,33.8-33.8,ストロングノヴァ,長谷川浩,[西]西浦勝一,ピエナクリスタル,マルブツファントム,2:３歳,500.0
2011/05/07,1新潟5,晴,7,4歳以上500万下,,ダ1800,15,良,1:54.6,37.6-38.7,マイネフェリックス,丹内祐次,[東]田中清隆,ペパーミントラヴ,ミリアム,4:４歳以上,700.0
2011/05/07,1新潟5,晴,8,4歳以上500万下,,芝2200,6,良,2:14.6,36.0-37.0,タイセイダンサー,平野優,[東]二ノ宮敬,ディビデンド,ピンクジャスミン,4:４歳以上,700.0
2011/05/07,1新潟5,晴,9,4歳以上500万下,,ダ1200,15,良,1:11.3,33.7-37.6,メイショウバーモス,松山弘平,[西]佐山優,スマートキャスター,ツリーズオブホープ,4:４歳以上,700.0
2011/05/07,1新潟5,晴,10,二王子特別(500万下),,芝1800,11,良,1:47.3,36.6-33.5,アドマイヤコスモス,上村洋行,[西]橋田満,ツルミプラチナム,アスカクリチャン,4:４歳以上,970.0
2011/05/07,1新潟5,晴,11,八海山特別(1000万下),,ダ1200,15,良,1:11.1,33.5-37.6,メイショウトリノ,高倉稜,[西]松永昌博,ゼンノベラーノ,ドロ,4:４歳以上,1370.0
2011/05/07,1新潟5,晴,12,五泉特別(500万下),,芝1400,16,良,1:21.8,34.3-35.6,チャームポット,佐藤哲三,[西]南井克巳,ドリームヒーロー,ディアエンデバー,4:４歳以上,970.0
2011/05/07,2東京5,雨,1,3歳未勝利,,ダ1600,15,良,1:41.3,36.4-38.7,グジョウハチマン,北村宏司,[東]古賀慎明,アドマイヤアジナ,トーセンティアラ,2:３歳,500.0
2011/05/07,2東京5,雨,2,3歳未勝利,,ダ1400,16,良,1:27.4,36.5-38.1,マコトローゼンボー,蛯名正義,[西]矢作芳人,エイシンエンブレム,チェルビアット,2:３歳,500.0
2011/05/07,2東京5,雨,3,3歳未勝利,,ダ1600,16,良,1:40.3,35.9-39.8,エルヴィスバローズ,柴田善臣,[西]中竹和也,ハードボイルド,シュヴァルツシルト,2:３歳,500.0
2011/05/07,2東京5,雨,4,障害4歳以上未勝利,,障3000,14,良,3:26.0,107.0-0.0,マジェスティバイオ,柴田大知,[東]田中剛,スイートバイカル,トリビュートソング,4:４歳以上,730.0
2011/05/07,2東京5,雨,5,3歳未勝利,,芝2400,12,稍,2:30.5,38.2-35.7,テンベアハート,後藤浩輝,[東]牧光二,ミッキークリスタル,メジロダイボサツ,2:３歳,500.0
2011/05/07,2東京5,雨,6,3歳500万下,,芝1800,9,稍,1:48.1,35.5-35.8,サイレントソニック,北村宏司,[東]国枝栄,テキサスルビー,ベルモントカントル,2:３歳,700.0
2011/05/07,2東京5,雨,7,4歳以上500万下,,芝1600,16,稍,1:35.9,35.4-35.2,コスモマクスウェル,松岡正海,[東]稲葉隆一,アルマトゥーラ,シンボリカージナル,4:４歳以上,740.0
2011/05/07,2東京5,小雨,8,4歳以上500万下,,ダ1600,16,稍,1:38.1,34.9-38.2,スマイルタイム,内田博幸,[西]大久保龍,マスターソムリエ,マカリオス,4:４歳以上,740.0
2011/05/07,2東京5,曇,9,高尾特別(1000万下),,芝1400,18,稍,1:21.6,35.1-34.5,シャドークロス,柴田善臣,[東]清水英克,トーセンマドローナ,ラインジェシカ,4:４歳以上,1470.0
2011/05/07,2東京5,曇,10,丹沢S(1600万下),,ダ2100,16,稍,2:11.7,29.9-39.2,フリソ,三浦皇成,[東]小島茂之,ドットコム,サイモントルナーレ,4:４歳以上,1770.0
