開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
2011/05/22,1新潟10,雨,3,3歳未勝利,,芝1400,16,稍,1:23.6,34.1-37.1,マイネエレーナ,丹内祐次,[西]西園正都,プリティアクィーン,ノアパステル,2:３歳,500.0
2011/05/22,1新潟10,曇,4,3歳未勝利,,ダ1200,15,稍,1:11.1,34.2-36.9,シゲルトウドリ,川須栄彦,[西]藤岡範士,フレンチミシル,ニザエモン,2:３歳,500.0
2011/05/22,1新潟10,曇,5,3歳未勝利,,芝1800,16,稍,1:50.0,36.2-35.2,ストーンヘンジ,吉田隼人,[東]戸田博文,レイテッド,アトミックデザイン,2:３歳,500.0
2011/05/22,1新潟10,曇,6,4歳以上500万下,,芝1600,16,稍,1:35.8,35.8-35.1,ドリームヒーロー,丸山元気,[西]鮫島一歩,リビングストン,ヒルトップシーン,4:４歳以上,700.0
2011/05/22,1新潟10,曇,7,4歳以上500万下,,芝1800,16,稍,1:48.1,35.4-36.4,アグネスサクラ,勝浦正樹,[西]長浜博之,アトムスパンカー,ダッシュアキチャン,4:４歳以上,700.0
2011/05/22,1新潟10,曇,8,4歳以上500万下,,ダ1200,15,稍,1:11.4,34.4-37.0,キクノフェーデ,中舘英二,[西]北出成人,スマートキャスター,アヌエヌエ,4:４歳以上,700.0
2011/05/22,1新潟10,曇,9,4歳以上500万下,,芝2000,16,稍,2:02.7,35.5-34.5,サクラボールド,勝浦正樹,[東]菊沢隆徳,メイショウリバー,アルティスト,4:４歳以上,700.0
2011/05/22,1新潟10,曇,10,胎内川特別(500万下),,芝2200,12,稍,2:15.7,37.5-35.8,ケージーカチボシ,宮崎北斗,[東]高市圭二,ハシルヨミテテ,ナムラアーガス,4:４歳以上,970.0
2011/05/22,1新潟10,曇,11,駿風S(1600万下),,芝1000,14,稍,0:55.3,33.1-33.0,セブンシークィーン,太宰啓介,[西]南井克巳,レオパステル,アスターエンペラー,4:４歳以上,1670.0
2011/05/22,1新潟10,曇,12,三条特別(500万下),,ダ1800,13,稍,1:52.7,36.1-37.9,スギノブレイド,丸山元気,[東]古賀史生,マツリダジャパン,バイオレントナイト,4:４歳以上,970.0
2011/05/22,3東京2,晴,1,3歳未勝利,,ダ1600,14,良,1:38.6,34.8-38.3,アプレレクール,浜中俊,[東]小笠倫弘,ジャマイカラー,アソルータ,2:３歳,500.0
2011/05/22,3東京2,晴,2,3歳未勝利,,ダ1300,15,良,1:19.7,30.0-37.6,ダイゴロー,後藤浩輝,[東]杉浦宏昭,ブロックコード,リバルドホープ,2:３歳,500.0
2011/05/22,3東京2,晴,3,3歳未勝利,,ダ1600,12,良,1:38.2,35.8-37.5,リンガスクリフ,柴田善臣,[東]高橋祥泰,ワンダースピンドル,オリジン,2:３歳,500.0
2011/05/22,3東京2,晴,4,3歳未勝利,,ダ1400,15,良,1:26.3,36.3-37.1,アポロスカイナイト,柴田善臣,[東]柴崎勇,トウショウジャック,カネトシリープイン,2:３歳,500.0
2011/05/22,3東京2,晴,5,3歳未勝利,,芝2000,14,良,2:00.3,36.6-34.9,プレミアムテースト,石橋脩,[東]堀宣行,エーブフウジン,マイネルリシェス,2:３歳,500.0
2011/05/22,3東京2,曇,6,3歳500万下,,ダ1400,16,良,1:25.6,35.0-38.1,インディーズゲーム,田中勝春,[東]宗像義忠,トキノエクセレント,デイブレイク,2:３歳,700.0
2011/05/22,3東京2,曇,7,4歳以上500万下,,芝1400,18,良,1:21.5,35.1-34.3,ショウナンダンク,藤岡佑介,[東]伊藤大士,ケイバズキ,ジョディーズライン,4:４歳以上,740.0
2011/05/22,3東京2,曇,8,カーネーションC(500万下),,芝1800,8,良,1:50.1,37.9-33.9,サクセスシルエット,ウィリア,[東]久保田貴,マイネクイーン,リヴァーレ,2:３歳,1000.0
2011/05/22,3東京2,曇,9,由比ヶ浜特別(1000万下),,芝1400,17,良,1:21.4,34.8-35.7,トーホウカイザー,丸田恭介,[東]高橋裕,トーセンマドローナ,トウショウフォアゴ,4:４歳以上,1470.0
2011/05/22,3東京2,小雨,10,薫風S(1600万下),,ダ1600,16,良,1:37.6,34.7-37.3,ヒラボクワイルド,松田大作,[西]大久保龍,アドマイヤロイヤル,セイリオス,4:４歳以上,1770.0
