開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
2002/11/03,4中山2,晴,8,3歳以上500万下,,ダ1200,15,良,1:13.1,34.7-38.4,カナハラサンサン,五十嵐雄,[東]山田要一,ユーワライトニング,グルメジャパン
2002/11/03,4中山2,晴,9,水戸特別(1000万下),,ダ1800,8,良,1:54.1,36.8-37.6,オースミステイヤー,熊沢重文,[西]白井寿昭,フサイチストラトス,アサカブレイヴリー
2002/11/03,4中山2,晴,10,ユートピアS(1600万下),,芝1600,13,良,1:33.6,34.8-35.4,カネトシディザイア,田中勝春,[西]田中章博,タイキトゥインクル,ショコット
2002/11/03,4中山2,晴,11,アルゼンチン共和国杯(G2),,芝2500,11,良,2:30.6,30.1-34.8,サンライズジェガー,岡部幸雄,[西]福永甲,コイントス,タップダンスシチー
2002/11/03,4中山2,晴,12,3歳以上1000万下,,ダ1200,14,良,1:12.4,34.4-38.0,カネツテンビー,田中勝春,[東]黒坂洋基,ファインルナラック,サザンクロスビコー
2002/11/03,5京都2,晴,1,2歳未勝利,,ダ1400,12,重,1:29.7,36.2-40.3,スウォードクラフト,武豊,[西]浅見秀一,バンブーヌエバ,マヤノガルチ
2002/11/03,5京都2,晴,2,2歳未勝利,,芝1200,14,良,1:11.1,35.8-35.3,シーキングマイラブ,四位洋文,[西]森秀行,トーセンザヒット,テイエムエルフ
2002/11/03,5京都2,晴,3,2歳新馬,,芝1200,18,良,1:10.6,35.3-35.3,アドマイヤテレサ,高田潤,[西]松田博資,レンドフェリーチェ,カレンナルージュ
2002/11/03,5京都2,晴,4,2歳新馬,,ダ1200,13,重,1:13.8,36.4-37.4,タイキジリオン,四位洋文,[西]安田隆行,ファンドリワールド,レマーズガール
2002/11/03,5京都2,晴,5,2歳新馬,,芝1400,17,良,1:23.2,36.0-35.2,ヒューマ,藤田伸二,[西]山内研二,ホウライウォニング,ディアダイアリー
2002/11/03,5京都2,晴,6,3歳以上500万下,,ダ1400,15,重,1:25.9,35.3-38.1,ナニワビクトリー,池添謙一,[西]池添兼雄,インターアプローズ,ホクセツハート
2002/11/03,5京都2,晴,7,3歳以上500万下,,芝2000,13,良,2:02.3,36.0-35.3,タガノマイバッハ,高田潤,[西]松田博資,タマモマイウエイ,イブキトレッキング
2002/11/03,5京都2,晴,8,3歳以上1000万下,,ダ1200,13,稍,1:13.0,35.2-37.8,ケイエスホノカ,松永幹夫,[西]高橋成忠,マイフェアレディ,ケイシンミツル
2002/11/03,5京都2,晴,9,北大路特別(1000万下),,芝2000,11,良,2:00.3,36.2-34.5,サンライズシャーク,武豊,[西]崎山博樹,シルクフェイマス,トーワトレンディー
2002/11/03,5京都2,晴,10,花園S(1600万下),,ダ1800,10,稍,1:52.3,34.7-40.8,アッパレアッパレ,武豊,[西]田中章博,キングサンバ,トシザボス
2002/11/03,5京都2,晴,11,KBSファンタジーS(G3),,芝1400,12,良,1:22.2,35.1-35.5,ピースオブワールド,福永祐一,[西]坂口正大,シーイズトウショウ,トーホウアスカ
2002/11/03,5京都2,晴,12,3歳以上1000万下,,ダ1800,14,稍,1:52.2,36.4-37.8,ホーマンライブリ,飯田祐史,[西]飯田明弘,アドマイヤチャンプ,ナカトップトウコウ
2002/11/02,3福島1,晴,1,2歳未勝利,,ダ1700,11,良,1:48.7,30.3-40.1,マイネルエタンセル,岩部純二,[東]高木嘉夫,サンカルテット,シルクアルディ
2002/11/02,3福島1,晴,2,2歳新馬,,芝1200,15,良,1:11.3,35.1-36.2,ナルコパラダイス,木幡初広,[東]中島敏文,コンバットサンサン,キセキノカピタン
2002/11/02,3福島1,晴,3,3歳以上500万下,,ダ1700,13,良,1:46.4,29.4-38.8,ミュージシャン,小池隆生,[西]作田誠二,ニシノササメユキ,シビル
