開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬
1978/05/20,4東京1,曇,5,4歳300万下,,ダ2100,6,重,2:12.9,,シゲノセイカン,加賀武見,阿部新生,サンエイミラージュ,サクラハヤオー
1978/05/20,4東京1,曇,6,雲取特別(600万下),,芝2400,8,重,2:29.9,,タイホウハヤブサ,中島啓之,稗田敏男,コーゲンオー,パームオンワード
1978/05/20,4東京1,曇,7,4歳300万下,,ダ1600,11,重,1:38.6,,キリトップ,大塚栄三郎,菊池一雄,オカノブルー,ニシノガルフ
1978/05/20,4東京1,曇,8,ニュージーランドトロ(OP),,芝1800,8,重,1:50.6,,カネミカサ,蛯沢誠治,成宮明光,カミノカチドキ,ホクエイワン
1978/05/20,4東京1,曇,9,4歳牝馬S(OP),,芝1800,10,重,1:52.1,,ヨドハマナス,吉永正人,松山吉三郎,ロイヤルマウンテン,ミホノタイリン
1978/05/20,4東京1,曇,10,5歳以上1000万下,,ダ1600,10,重,1:37.4,,ケイシュウフブキ,郷原洋行,田村勝男,トウコウアロア,テツノカゼ
1978/05/20,3阪神1,晴,1,4歳未勝利,,ダ1200,9,重,1:14.9,,ブゼンファイター,舞原昌博,松永善晴,シンマサヒカリ,ブゼンビヨンド
1978/05/20,3阪神1,晴,2,4歳未勝利,,ダ1700,10,重,1:48.9,,マイルイス,吉永良人,工藤嘉見,ダンケイ,ヤングライフ
1978/05/20,3阪神1,晴,3,4歳未勝利,,ダ1800,10,重,1:56.6,,キンセンカップ,藤原哲朗,坂口正二,ダーテイエース,セブンパレス
1978/05/20,3阪神1,晴,4,4歳300万下,,ダ1200,6,重,1:13.4,,カネキジョオー,栩原一男,田所稔,オーメイゲツ,ヨドイーグル
1978/05/20,3阪神1,晴,5,4歳以上未勝利,,障3000,5,重,3:24.6,,ユウダイ,猿橋重利,杉村政春,オープンファバー,ウエストヒカリ
1978/05/20,3阪神1,曇,6,5歳以上1000万下,,芝1600,15,稍,1:35.4,,ロイヤルブラッド,牧野三雄,荻野光男,ヤタノヒカル,ウラカワスター
1978/05/20,3阪神1,曇,7,アラブS(OP),,ダ1800,8,稍,1:54.9,,ミサキシンボル,伊藤清章,伊藤修司,ポットグリン,ヤマサンツバメ
1978/05/20,3阪神1,曇,8,4歳以上,,芝2000,9,稍,2:01.7,,ホクトボーイ,猿橋重利,久保道雄,ハシコトブキ,アランフェス
1978/05/20,3阪神1,曇,9,加古川特別(600万下),,芝2000,12,稍,2:02.9,,アラタマツキ,岩元市三,布施正,カクノホープ,アテスター
1978/05/20,3阪神1,曇,10,野苺賞(300万下),,芝1600,10,稍,1:37.2,,スナージィ,河内洋,伊藤修司,ミョウコウクイン,ロングタチバナ
1978/05/20,3阪神1,曇,11,5歳以上600万下,,ダ1800,11,良,1:53.9,,ヒカリカチドキ,清水英次,坂田正行,ランドスター,アイネフレシア
1978/05/14,1新潟6,晴,1,4歳未勝利,,芝1200,12,良,1:11.9,,インターチャイム,蛯名信広,久保田金造,ジョーアンテック,リルダーリン
1978/05/14,1新潟6,晴,2,4歳未勝利,,芝1600,12,良,1:37.5,,サンダーストーム,石崎譲,吉永猛,インタースピリット,キヨパーミーン
1978/05/14,1新潟6,晴,3,4歳未勝利,,芝1400,13,良,1:24.5,,ロードプリンセス,黛幸弘,橋本輝雄,ミホアスカ,ルビーシャトー
