開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1978/07/09,3中山8,晴,11,5歳以上300万下,,ダ1700,7,稍,1:46.1,,バンビーナ,堀井雅広,宮沢今朝太郎,サクラパワー,イーグルターフ,4:４歳以上,420.0
1978/07/09,2中京8,晴,1,3歳勝入,,ダ1000,5,良,1:01.8,,タガミヒカリ,吉田勝也,吉田三郎,イエテイ,キクマザクラ,1:２歳,0.0
1978/07/09,2中京8,晴,2,4歳未勝利,,ダ1600,12,良,1:41.4,,バンブーデイシス,西園正都,柳田次男,シュウチョウ,ホースメンロムルス,2:３歳,270.0
1978/07/09,2中京8,晴,3,4歳未勝利,,芝1800,10,良,1:50.8,,ヤマニンランナー,古小路重男,松永善晴,サカエハヤブサ,サクセンスポート,2:３歳,270.0
1978/07/09,2中京8,晴,4,4歳300万下,,ダ1600,8,良,1:40.3,,チェリータテヤマ,桜井誠二,栗田勝,トーワミドリ,ウメノバンダ,2:３歳,400.0
1978/07/09,2中京8,晴,5,5歳以上600万下,,芝1700,9,良,1:42.6,,ショウフウセフト,安田隆行,松元省一,ジョープライデール,タニノバラホマレ,4:４歳以上,540.0
1978/07/09,2中京8,晴,6,ひめゆり賞(600万下),,芝1700,15,良,1:43.3,,ゴージャス,古小路重男,松永善晴,ミョウコウハヤテ,ヤマニンシャーク,2:３歳,730.0
1978/07/09,2中京8,晴,7,4歳300万下,,ダ1700,8,良,1:48.7,,サカエクロード,久保敏文,橋本正晴,シュウザンシーザー,ストラーオール,2:３歳,400.0
1978/07/09,2中京8,晴,8,金鯱賞(OP),,芝1800,9,良,1:48.1,,スリーファイヤー,岩元市三,布施正,マチカネタイテイ,ハシコトブキ,3:３歳以上,1700.0
1978/07/09,2中京8,晴,9,名古屋特別(1000万下),,芝2000,9,良,2:01.8,,ニチドウライザー,清水英次,坂田正行,バンブーロイヤル,ケイリッチ,4:４歳以上,860.0
1978/07/09,2中京8,晴,10,5歳以上600万下,,芝1700,10,良,1:43.9,,フジノタカヒリュウ,安田隆行,中村武志,サカエユウシュン,スーパーセブン,4:４歳以上,540.0
1978/07/08,1函館7,晴,1,3歳新馬,,芝1000,9,稍,0:59.0,,カンリョク,増田久,久保田彦之,センターブルー,キョウエイポルシェ,1:２歳,370.0
1978/07/08,1函館7,晴,2,3歳新馬,,芝1000,8,稍,0:59.2,,キョウエイプロント,東信二,境勝太郎,ジュベルエース,キヨカチドキ,1:２歳,370.0
1978/07/08,1函館7,晴,3,4歳未勝利,,芝1200,10,稍,1:11.3,,ビゼンイチマツ,星野信幸,橋本輝雄,ミサキフジ,タイシンボーイ,2:３歳,270.0
1978/07/08,1函館7,晴,4,4歳未勝利,,芝1200,10,良,1:12.4,,カミノウインド,福永洋一,工藤嘉見,タケノジェミニー,グリーングリーン,2:３歳,270.0
1978/07/08,1函館7,晴,5,4歳未勝利,,芝2000,9,良,2:04.0,,カネアオイ,横山富雄,成宮明光,カーペンタリア,ランドサカエ,2:３歳,270.0
1978/07/08,1函館7,晴,6,4歳以上300万下,,芝1700,10,良,1:45.2,,ハーディエース,郷原洋行,柄崎義信,ニッポウヒーロー,オカソーウン,3:３歳以上,420.0
1978/07/08,1函館7,晴,7,つつじ賞(OP),,芝1200,6,良,1:12.5,,カシマセイカン,田村正光,斎藤籌敬,フジパール,チャンピオンハイ,1:２歳,730.0
1978/07/08,1函館7,晴,8,津軽海峡特別(700万下),,芝2000,6,良,2:01.0,,ゴールドフィンガー,加賀武見,成宮明光,ヒダカベルベラ,ミスターケイ,3:３歳以上,730.0
1978/07/08,1函館7,晴,9,竜飛崎特別(300万下),,芝1700,10,良,1:43.8,,エゾノカツラ,的場均,柄崎義信,ホッカイプリティ,カグラキング,3:３歳以上,550.0
