開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1978/07/02,2中京6,曇,1,3歳未勝利,,ダ1000,6,稍,1:04.5,,ライトシーダー,加用正,増本豊,ジョーウイナー,コズミック,1:２歳,0.0
1978/07/02,2中京6,曇,2,4歳未勝利,,ダ1600,9,稍,1:41.6,,インターボクサー,稲葉的海,日迫清,ラクサイオー,オートミヒカリ,2:３歳,270.0
1978/07/02,2中京6,曇,3,4歳以上未勝利,,障2800,5,重,3:14.8,,グットラッキー,豊田将志,内藤繁春,キンセンカップ,フジモンテ,3:３歳以上,600.0
1978/07/02,2中京6,曇,4,4歳未勝利,,ダ1700,8,良,1:48.4,,ポットイーグル,小川行雄,渡辺栄,マツノチャレンジャ,サンダルウッド,2:３歳,270.0
1978/07/02,2中京6,曇,5,4歳300万下,,ダ1600,14,良,1:41.6,,ハーミットスリー,久保田敏彦,佐藤勇,ハードミラクル,タニノパサー,2:３歳,400.0
1978/07/02,2中京6,晴,6,4歳短距離特別(300万下),,芝1200,13,稍,1:10.8,,ボールドエンペラー,安田隆行,星川薫,ダイシャトー,チェリーリュウ,2:３歳,520.0
1978/07/02,2中京6,晴,7,4歳600万下,,芝1800,11,稍,1:51.4,,スナージィ,河内洋,伊藤修司,スリービルゴ,ヤマトファイター,2:３歳,540.0
1978/07/02,2中京6,晴,8,中日スポーツ杯(1400万下),,芝1800,8,稍,1:50.5,,ミカローズ,松本善登,梅内慶蔵,チャンスタイム,ハクサントップ,4:４歳以上,1000.0
1978/07/02,2中京6,晴,9,桶狭間特別(600万下),,芝1400,11,稍,1:24.0,,フセデンコウ,飯田明弘,中村覚之助,アスタニールセン,パーソネラ,4:４歳以上,730.0
1978/07/02,2中京6,晴,10,5歳以上300万下,,ダ1700,12,良,1:48.0,,ライトダイオー,加用正,増本勇,ヤマニンエメラ,ヒダカサンシー,4:４歳以上,420.0
1978/07/01,1函館5,曇,1,3歳新馬,,芝1000,6,良,0:59.6,,インタームサシ,樋口弘,日迫清,エリモパレー,リンドプルバン,1:２歳,370.0
1978/07/01,1函館5,曇,2,4歳未勝利,,芝1800,9,良,1:51.6,,ウメユウ,伊藤清章,伊藤修司,シャインスター,オンリーカブト,2:３歳,270.0
1978/07/01,1函館5,曇,3,4歳未勝利,,芝2000,8,良,2:04.9,,ファバドール,福永洋一,武田文吾,ウエスタンノーブル,ゴールデンイチオー,2:３歳,270.0
1978/07/01,1函館5,曇,4,4歳未勝利,,芝1800,10,良,1:51.5,,シャークテイム,牧野三雄,荻野光男,シルクオーヒ,カツトップスター,2:３歳,270.0
1978/07/01,1函館5,曇,5,4歳以上700万下,,芝1700,5,良,1:42.9,,ニッセキハーミット,清水出美,星川泉士,バンブーリュウオー,ドンファイター,3:３歳以上,540.0
1978/07/01,1函館5,曇,6,4歳以上300万下,,芝1700,10,良,1:43.6,,アグネスプレス,須崎昇,久保道雄,タニノランサー,メイショウホープ,3:３歳以上,420.0
1978/07/01,1函館5,曇,7,長万部特別(700万下),,芝1800,10,良,1:49.5,,キヌノニシキ,福永洋一,元石正雄,キクノシュバル,エイトオーギ,3:３歳以上,730.0
1978/07/01,1函館5,曇,8,噴火湾特別(300万下),,芝1200,9,良,1:10.8,,サンライズユキオー,橋口満朗,佐藤嘉秋,オカノスター,ケンザンジョウ,3:３歳以上,550.0
1978/07/01,1函館5,曇,9,4歳以上300万下,,芝1800,12,良,1:49.7,,ネバァーノン,伊藤正徳,尾形藤吉,キオノアルプス,セダンプリンス,3:３歳以上,420.0
1978/07/01,3中山5,雨,1,3歳未勝利,,ダ1000,5,重,1:02.0,,ダービーホープ,根本康広,前田禎,マツサニー,リオノルテ,1:２歳,200.0
