開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1987/01/31,1小倉1,晴,7,4歳以上400万下,,芝1200,16,良,1:09.9,34.4-35.5,クニノグレンター,森安輝正,[東]森安弘昭,アサヒスイセイ,タニノキャスター,3:３歳以上,560.0
1987/01/31,1小倉1,晴,8,4歳以上400万下,,芝1800,16,良,1:49.9,35.3-37.3,トウカイラチーネ,原田聖二,[西]松元省一,メトロレーザー,タマモジャガー,3:３歳以上,280.0
1987/01/31,1小倉1,晴,9,4歳以上400万下,,芝1200,16,良,1:11.1,34.7-36.4,クリーンスレイト,今井規和,[東]中村貢,フレンチハッピー,ダイゼンアカツキ,3:３歳以上,560.0
1987/01/31,1小倉1,晴,10,あすなろ賞(400万下),,芝1800,12,良,1:50.0,37.1-35.7,ダイカツケンザン,西浦勝一,[西]福島勝,サクラシルキー,メークアスマート,2:３歳,750.0
1987/01/31,1小倉1,晴,11,和布刈特別(900万下),,芝2000,16,良,2:01.6,35.6-37.2,コンサートマスター,松本達也,[西]中尾正,ヒロノメロス,アイリスクイン,3:３歳以上,1250.0
1987/01/31,1小倉1,晴,12,4歳以上400万下,,ダ1700,12,良,1:50.0,30.8-40.4,ハマホース,樋口弘,[西]日迫良一,サクラファミリー,ヤマニンリーガル,3:３歳以上,560.0
1987/01/25,1中山8,曇,1,4歳未勝利,,ダ1800,8,重,1:59.9,39.5-41.4,ダービーフロイド,的場均,[東]大久保房,マイスターライト,セントウオーリア,2:３歳,250.0
1987/01/25,1中山8,曇,2,4歳未勝利,,ダ1700,9,重,1:49.9,32.0-39.8,ハーバーサレーヌ,武藤善則,[東]秋山史郎,サクラハゴロモ,ニッショウカムリ,2:３歳,420.0
1987/01/25,1中山8,曇,3,4歳未勝利,,ダ1200,8,重,1:13.6,35.3-38.3,オギトールマン,岡部幸雄,[東]田中和夫,アズマファントム,スズマジック,2:３歳,420.0
1987/01/25,1中山8,曇,4,4歳新馬,,ダ1200,13,重,1:13.0,34.3-38.7,マイネミレー,蛯沢誠治,[東]栗田博憲,ハツイワ,レインボーパーク,2:３歳,510.0
1987/01/25,1中山8,曇,5,4歳新馬,,芝1800,13,稍,1:51.6,37.4-37.1,レインボーアカサカ,岡部幸雄,[東]高橋英夫,カイラスアモン,レッドフラッシュ,2:３歳,510.0
1987/01/25,1中山8,曇,6,4歳新馬,,芝1800,14,稍,1:52.3,37.9-38.2,チョウカイフリート,菅原泰夫,[東]仲住芳雄,ダイナサーファー,ドウカンホワイト,2:３歳,510.0
1987/01/25,1中山8,曇,7,4歳以上400万下,,ダ1800,11,重,1:55.4,38.0-40.2,ラッキーロマンス,柴田善臣,[東]古賀末喜,ワイドトップエース,ハンティングレデイ,3:３歳以上,560.0
1987/01/25,1中山8,曇,8,白梅賞(400万下),,ダ1800,8,稍,1:55.4,38.2-39.3,ニッポータイガー,鹿戸雄一,[東]久保田金,クリノサンイツ,バイオニックダイナ,2:３歳,750.0
1987/01/25,1中山8,晴,9,4歳以上400万下,,ダ1200,16,稍,1:12.5,33.3-39.2,ペガサスターフ,増沢末夫,[東]鈴木勝太,リーガルシンセイ,スピードロイス,3:３歳以上,560.0
1987/01/25,1中山8,晴,10,若潮特別(900万下),,芝1800,13,良,1:50.5,37.4-37.6,トウショウユース,柴田政人,[東]高松邦男,ナスノタイザン,エビスジョウジ,3:３歳以上,1000.0
1987/01/25,1中山8,晴,11,アメリカジョッキーC(G2),,芝2200,6,良,2:15.4,38.4-35.8,ミホシンザン,柴田政人,[東]田中朋次,スズパレード,クシロキング,3:３歳以上,4300.0
1987/01/25,1中山8,晴,12,4歳以上900万下,,ダ1800,9,稍,1:54.2,37.6-40.5,マックスポート,菅原泰夫,[東]本郷一彦,アーリアンレディ,ジョイキング,3:３歳以上,750.0
1987/01/25,1京都8,曇,1,4歳未勝利,,ダ1800,7,重,1:59.0,39.3-39.7,サンコーセブン,林満明,[西]吉田三郎,クインモンテス,マルブツリードオー,2:３歳,250.0
1987/01/25,1京都8,曇,2,4歳未勝利,,ダ1700,12,重,1:47.3,31.8-38.2,トリプルウイング,玉谷峰男,[西]玉谷敬治,ネーハイサウンド,ダイナレアリティー,2:３歳,420.0
