開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1987/02/21,1小倉7,曇,3,4歳未勝利,,ダ1000,11,良,1:00.7,35.9-36.6,ダイナボウモント,柿元嘉和,[西]小林稔,シンエツマル,アロエクイーン,2:３歳,420.0
1987/02/21,1小倉7,曇,4,4歳未勝利,,芝1800,16,良,1:51.3,37.0-38.2,セルバスター,横山雄一,[西]増本豊,ダイナロイター,ダイナセレモニー,2:３歳,420.0
1987/02/21,1小倉7,曇,5,4歳新馬,,芝2000,9,良,2:07.0,37.8-38.9,モーストランナー,関口睦介,[東]稲葉隆一,キリダービー,オリオンチカラ,2:３歳,510.0
1987/02/21,1小倉7,曇,6,4歳以上400万下,,芝1800,15,良,1:51.5,36.4-39.0,フジフォンテン,安田隆行,[西]大沢真,テツノエンゼル,ヒダカホー,3:３歳以上,560.0
1987/02/21,1小倉7,曇,7,4歳以上400万下,,芝2000,16,良,2:04.2,36.6-38.5,スズスマッシュ,徳吉一己,[東]森末之助,ビンゴワイス,ナチノパーソ,3:３歳以上,560.0
1987/02/21,1小倉7,曇,8,4歳以上400万下,,芝1800,16,良,1:50.9,36.2-38.3,サムシングイブキ,西橋豊治,[西]高橋成忠,マルブツブロンド,アイリメンバーユー,3:３歳以上,560.0
1987/02/21,1小倉7,曇,9,4歳以上400万下,,芝1200,15,良,1:10.8,33.6-37.2,イブキハーディ,横山雄一,[西]中尾謙太,ダイゼンアカツキ,ミヤシログランデー,3:３歳以上,560.0
1987/02/21,1小倉7,曇,10,勝山城特別(400万下),,芝2600,13,良,2:43.3,36.3-38.6,リバティガルー,原昌久,[東]橋本輝雄,オーゴンサンアロー,ハリーダンカン,3:３歳以上,770.0
1987/02/21,1小倉7,曇,11,早鞆特別(900万下),,芝2000,16,良,2:03.1,36.4-37.8,ヒロテンシ,鹿戸雄一,[東]松山康久,フジフクオー,ダイゴジョオー,3:３歳以上,1000.0
1987/02/21,1小倉7,曇,12,4歳以上400万下,,ダ1700,12,良,1:49.4,30.5-41.2,トナミープリンス,木藤隆行,[東]久恒久夫,サンエムグローリー,ヤマニンリーガル,3:３歳以上,560.0
1987/02/15,1東京6,曇,1,4歳未勝利,,ダ1600,13,良,1:40.2,36.5-38.9,キタノイチジョー,菅原隆明,[東]西塚十勝,サクラタイム,ドゴールシンボリ,2:３歳,420.0
1987/02/15,1東京6,曇,2,4歳未勝利,,ダ1400,11,良,1:27.1,36.9-37.5,サクラハゴロモ,小島太,[東]境勝太郎,セッテディバ,レッドフラッシュ,2:３歳,420.0
1987/02/15,1東京6,曇,3,4歳未勝利,,ダ1400,10,良,1:28.3,37.1-38.4,タレンティドガール,田原成貴,[東]栗田博憲,ダイナエミー,ウエスタンピット,2:３歳,420.0
1987/02/15,1東京6,曇,4,4歳新馬,,ダ1200,10,良,1:14.8,36.3-38.5,ハタノタイコー,大塚栄三,[東]佐々木猛,ウメノレイホー,ホクテンアロー,2:３歳,510.0
1987/02/15,1東京6,曇,5,障害4歳以上未勝利,,障3100,8,良,3:34.9,111.0-0.0,オオヤマタイコー,鈴木勇,[東]藤原敏文,アルゴシンボリ,マツカゼサンシー,3:３歳以上,750.0
1987/02/15,1東京6,曇,6,4歳400万下,,ダ1400,8,良,1:26.4,35.5-38.5,ウインストーン,大塚栄三,[東]吉野勇,ウンガバベイ,マイネミレー,2:３歳,550.0
1987/02/15,1東京6,曇,7,4歳以上400万下,,ダ1600,16,良,1:40.1,37.1-38.3,リパルステイオー,武藤善則,[東]田村駿仁,ジョウテンアンサー,グリムスポート,3:３歳以上,560.0
1987/02/15,1東京6,曇,8,4歳以上400万下,,ダ1400,14,良,1:27.1,35.5-39.2,ヘイアンユウボーイ,菅原泰夫,[東]柴田寛,ウエスタンオーカン,カシュウヒカリ,3:３歳以上,560.0
1987/02/15,1東京6,曇,9,中津川特別(900万下),,ダ1600,8,良,1:39.4,36.1-38.5,グレンツェンド,柴田政人,[東]新関力,セッテシルビア,アニメシロー,3:３歳以上,1000.0
1987/02/15,1東京6,曇,10,金蹄賞(1400万下),,ダ2100,10,良,2:11.9,30.3-38.7,キーラーオー,増沢末夫,[東]松永勇,ツジノダンサー,メジロカピュサン,3:３歳以上,1250.0
