開催日,開催,天気,R,レース名,映像,距離,頭数,馬場,タイム,ペース,勝ち馬,騎手,調教師,2着馬,3着馬,年齢制限,一着賞金
1973/06/30,3中京5,晴,1,3歳,,ダ1000,5,重,1:02.5,,ミヤギダービー,岩田始,戌亥信義,キーミサキ,アイノホマレ,1:２歳,80.0
1973/06/30,3中京5,晴,2,4歳未勝利,,ダ1700,10,重,1:50.3,,ロイヤルトピオ,橋口満朗,坂口正二,ヒダカンザン,マチカネヒロシ,2:３歳,100.0
1973/06/30,3中京5,晴,3,4歳以上300万下,,障2700,6,重,3:01.3,,カネロンド,上野清章,内藤繁春,ケイキット,コサックエース,3:３歳以上,420.0
1973/06/30,3中京5,晴,4,4歳200万下,,ダ1600,5,重,1:42.3,,フジノワカバ,清水出美,星川泉士,トキノビミー,ペルシャンオーザ,2:３歳,210.0
1973/06/30,3中京5,晴,5,4歳200万下,,ダ1600,5,重,1:40.1,,タマストロング,久保敏文,久保道雄,ヤマニンシプリ,イセマツカゼ,2:３歳,210.0
1973/06/30,3中京5,晴,6,4歳400万下,,芝1800,5,重,1:52.3,,トルネード,田島信行,宮本悳,イドールターフ,ゴシロオーダー,2:３歳,310.0
1973/06/30,3中京5,晴,7,5歳以上200万下,,ダ1600,10,稍,1:41.7,,ゴールドトップ,領家政蔵,内藤潔,ホースメンハヤテ,ニホンピロハニー,4:４歳以上,240.0
1973/06/30,3中京5,晴,8,ジューンS(800万下),,芝1400,8,稍,1:23.6,,マウントワールド,蓑田早人,田村勝男,トップタロー,センタービバー,4:４歳以上,640.0
1973/06/30,3中京5,晴,9,アラブS(OP),,ダ1700,7,稍,1:47.3,,ミツノセカイ,井高淳一,曽場広作,ハツノタカラ,シロタマツバキ,3:３歳以上,220.0
1973/06/30,3中京5,晴,10,5歳以上400万下,,芝1800,8,稍,1:51.9,,モングースミライチ,安田伊佐夫,島崎宏,ニシノフアンド,スピリュウシンゲキ,4:４歳以上,340.0
1973/06/24,3中山4,曇,1,3歳,,ダ1000,8,重,1:02.0,,サアジャー,嶋田功,稲葉秀男,アダチメリー,トーネイド,1:２歳,80.0
1973/06/24,3中山4,晴,2,4歳以上300万下,,ダ1700,5,重,1:48.8,,タマワスター,柴田利秋,仲住達弥,ムツミアラシ,ムツミガール,3:３歳以上,140.0
1973/06/24,3中山4,晴,3,4歳未勝利,,ダ1200,12,重,1:11.8,,テツノケゴン,今村倭夫,中野吉太郎,シュクリュウ,オシドリ,2:３歳,100.0
1973/06/24,3中山4,晴,4,4歳未勝利,,ダ1200,12,重,1:12.6,,ヒットスター,鈴木庸一,秋山史郎,エリモシャミエ,アザースモア,2:３歳,100.0
1973/06/24,3中山4,晴,5,4歳以上300万下,,障2710,8,重,3:04.0,,アームキラー,星野忍,久保田彦之,ハーバータイガー,マルサンダイヤ,3:３歳以上,420.0
1973/06/24,3中山4,晴,6,4歳未勝利,,ダ1700,9,重,1:47.8,,エリモバーバー,谷原義明,大久保末吉,クインセーラー,クインフォーレル,2:３歳,100.0
1973/06/24,3中山4,晴,7,4歳200万下,,芝1800,11,重,1:52.4,,エリモシャープ,前田禎,岩佐宗五郎,イデースポート,ヒシホダカ,2:３歳,220.0
1973/06/24,3中山4,晴,8,露草賞(200万下),,芝1600,8,重,1:37.1,,マサノヒカリ,嶋田功,稲葉秀男,ニッショウエース,モンパルナス,2:３歳,350.0
1973/06/24,3中山4,晴,9,5歳以上500万下,,芝1600,6,重,1:38.4,,インターロード,大崎昭一,柴田寛,ダイブリッチ,ゲキリュウ,4:４歳以上,440.0
1973/06/24,3中山4,晴,10,日本短波賞(OP),,芝1800,10,稍,1:50.8,,イチフジイサミ,郷原洋行,松永光雄,ニューサント,ロイヤルスプリンタ,2:３歳,1100.0
